Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
car,-0.0027074,-3.0003E-16,0.017167,0,0,0,1,0.00043157,-4.1737E-18,2.7447E-06,0.0012682,3.0153E-20,0.0016932,0,0,0,0,0,0,package://car2/meshes/car.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car2/meshes/car.STL,,Than_duoi-1,car,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_wheel_link,-0.00378190594294554,1.97642154184385E-07,-0.00657870584365291,0,0,0,0.00124397619652833,3.35972126452314E-08,-1.24282669053489E-12,7.42692787875443E-09,8.89962659917208E-08,-1.41962818240552E-12,7.26260074714814E-08,0,0,0,0,0,0,package://car2/meshes/r_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car2/meshes/r_wheel_link.STL,,Link-1,right_link,Axis1,r_wheel_joint,revolute,0.076709,-0.050979,0.012,0,0,0,car,0,0,1,0,0,0,0,,,,,,,,
wheel1_link,-1.38777878078145E-17,0.00835500060925576,-5.20417042793042E-17,0,0,0,0.0121802410735987,2.97355567460469E-06,-6.48236144271607E-21,-4.61169347369653E-21,4.93022491701447E-06,9.14430351930179E-22,2.97355567460471E-06,0,0,0,0,0,0,package://car2/meshes/wheel1_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car2/meshes/wheel1_link.STL,,Banh_xe-1,wheel1,Axis3,wheel1_joint,continuous,0,-0.025,-0.005,0,0,0,r_wheel_link,0,1,0,,,,,,,,,,,,
l_wheel_link,-0.00378190594294553,1.97642154142752E-07,-0.00657870584365291,0,0,0,0.00124397619652833,3.35972126452314E-08,-1.24282669034389E-12,7.42692787875444E-09,8.89962659917207E-08,-1.41962818244858E-12,7.26260074714813E-08,0,0,0,0,0,0,package://car2/meshes/l_wheel_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car2/meshes/l_wheel_link.STL,,Link-3,left_link,Axis2,l_wheel_joint,revolute,0.076709,0.050979,0.012,0,0,0,car,0,0,1,0,0,0,0,,,,,,,,
wheel2_link,-3.19189119579733E-16,-0.00835500060925579,2.46330733588707E-16,0,0,0,0.0121802410735987,2.97355567460469E-06,5.43807803572984E-20,7.62557127197317E-21,4.93022491701446E-06,3.52125469475346E-21,2.9735556746047E-06,0,0,0,0,0,0,package://car2/meshes/wheel2_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car2/meshes/wheel2_link.STL,,Banh_xe-2,wheel2,Axis4,wheel2_joint,continuous,0,0.025,-0.005,0,0,0,l_wheel_link,0,1,0,,,,,,,,,,,,
wheel3_link,-2.08166817117217E-16,-0.00835500060925574,-6.76542155630955E-17,0,0,0,0.0121802410735987,2.9735556746047E-06,5.55201970900145E-20,4.71105208243082E-21,4.93022491701447E-06,-2.30328909794717E-21,2.9735556746047E-06,0,0,0,0,0,0,package://car2/meshes/wheel3_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car2/meshes/wheel3_link.STL,,Banh_xe-3,wheel3,Axis5,wheel3_joint,continuous,-0.078291,0.076,0.007,0,0,0,car,0,1,0,,,,,,,,,,,,
wheel4_link,8.32667268468867E-17,0.00835500060925574,1.50920942409982E-16,0,0,0,0.0121802410735987,2.9735556746047E-06,-9.71262221525064E-21,-6.50758497531929E-21,4.93022491701447E-06,-6.39439453700751E-21,2.9735556746047E-06,0,0,0,0,0,0,package://car2/meshes/wheel4_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car2/meshes/wheel4_link.STL,,Banh_xe-4,wheel4,Axis6,wheel4_joint,continuous,-0.078291,-0.076,0.007,0,0,0,car,0,1,0,,,,,,,,,,,,
arm_base_link,0.000910433121614637,-0.00433390442586054,8.32773883386243E-09,0,0,0,0.07017488534617,4.38116101053683E-05,2.35120127682087E-06,-1.5358404688431E-11,3.10677926351619E-05,5.45464427696522E-12,3.06109146907153E-05,0,0,0,0,0,0,package://car2/meshes/arm_base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car2/meshes/arm_base_link.STL,,Base_link-1,arm_base,Axis7,arm_base_joint,revolute,-0.00079055,0.0018928,0.048,3.1416,-1.5708,0,car,1,0,0,0,0,0,0,,,,,,,,
arm_link,0.0422431195151998,0.00482877870291687,-1.11860933016406E-09,0,0,0,0.025111069557619,1.50238726311773E-06,-1.95293714809877E-07,-1.09917391696648E-12,2.24829187572783E-05,4.78031926159686E-14,2.14299431344385E-05,0,0,0,0,0,0,package://car2/meshes/arm_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car2/meshes/arm_link.STL,,Link_arm-2,arm,Axis8,arm_joint,revolute,0.02457,-0.0018928,0,0,1.5708,0,arm_base_link,0,1,0,0,0,0,0,,,,,,,,
camera,-0.00892618611124281,2.09105677235725E-18,-0.000789549115426313,0,0,0,0.00366758846903219,1.48146950827686E-07,-2.10640073960399E-23,1.08383834631344E-08,1.59703995617956E-07,-4.26232491798236E-24,1.38552825545768E-07,0,0,0,0,0,0,package://car2/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car2/meshes/camera.STL,,camera-1,Coordinate System1,Axis9,camera_joint,fixed,0.12621,0,0.0075,0,0,0,car,0,0,0,,,,,,,,,,,,
IMU,8.67361737988404E-19,0,-0.0025,0,0,0,0.001,3.54166666666667E-08,-7.04288268018996E-22,1.08420217248529E-25,1.04166666666667E-08,-7.82164340710411E-25,4.16666666666667E-08,0,0,0,0,0,0,package://car2/meshes/IMU.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://car2/meshes/IMU.STL,,IMU-1,IMU,,IMU_joint,fixed,0.0042095,0.0025,0.005,0,0,0,car,0,0,0,,,,,,,,,,,,
